county_fips,owner_purchase_originations,minority_originations,lowincome_originations,owner_loan_amount_median,income_median,minority_share,year
01001,808,133,233,145000.0,62000.0,0.1646039603960396,2018
01003,4289,231,1350,175000.0,73000.0,0.0538587083236185,2018
01005,120,31,38,125000.0,50500.0,0.2583333333333333,2018
01007,158,9,79,125000.0,56750.0,0.0569620253164556,2018
01009,715,45,360,125000.0,57000.0,0.0629370629370629,2018
01011,16,10,5,70000.0,51500.0,0.625,2018
01013,107,27,32,75000.0,53000.0,0.2523364485981308,2018
01015,1134,180,399,105000.0,51500.0,0.1587301587301587,2018
01017,215,52,82,102500.0,42750.0,0.241860465116279,2018
01019,199,7,48,117500.0,52750.0,0.0351758793969849,2018
01021,499,35,146,125000.0,58000.0,0.0701402805611222,2018
01023,38,7,11,87500.0,59250.0,0.1842105263157894,2018
01025,162,44,30,75000.0,59000.0,0.2716049382716049,2018
01027,68,11,19,105000.0,52000.0,0.1617647058823529,2018
01029,111,3,27,107500.0,58250.0,0.027027027027027,2018
01031,687,96,224,110000.0,56000.0,0.1397379912663755,2018
01033,678,73,259,115000.0,50500.0,0.107669616519174,2018
01035,34,5,10,75000.0,51500.0,0.1470588235294117,2018
01037,64,8,23,130000.0,53000.0,0.125,2018
01039,265,16,71,102500.0,52000.0,0.060377358490566,2018
01041,79,10,21,100000.0,56500.0,0.1265822784810126,2018
01043,772,31,198,115000.0,51750.0,0.0401554404145077,2018
01045,361,49,135,115000.0,56500.0,0.1357340720221606,2018
01047,114,54,28,85000.0,51000.0,0.4736842105263157,2018
01049,454,35,134,112500.0,51250.0,0.0770925110132158,2018
01051,1067,151,391,155000.0,59000.0,0.1415182755388941,2018
01053,212,38,54,90000.0,53000.0,0.1792452830188679,2018
01055,924,78,295,100000.0,48500.0,0.0844155844155844,2018
01057,119,16,40,75000.0,45000.0,0.134453781512605,2018
01059,176,24,51,95000.0,52000.0,0.1363636363636363,2018
01061,199,16,62,100000.0,53500.0,0.0804020100502512,2018
01063,21,14,10,45000.0,41000.0,0.6666666666666666,2018
01065,126,54,58,82500.0,49500.0,0.4285714285714285,2018
01067,173,17,61,112500.0,56250.0,0.0982658959537572,2018
01069,1241,157,289,125000.0,59000.0,0.1265108783239323,2018
01071,410,16,98,120000.0,54000.0,0.0390243902439024,2018
01073,7793,1925,2752,135000.0,54000.0,0.2470165533170794,2018
01075,66,1,21,65000.0,46000.0,0.0151515151515151,2018
01077,946,48,309,135000.0,60000.0,0.0507399577167019,2018
01079,262,26,105,115000.0,53000.0,0.099236641221374,2018
01081,2275,308,612,175000.0,71000.0,0.1353846153846153,2018
01083,1938,258,747,145000.0,57000.0,0.1331269349845201,2018
01085,41,19,18,77500.0,56000.0,0.4634146341463415,2018
01087,45,22,8,115000.0,65000.0,0.4888888888888889,2018
01089,6388,1061,2253,165000.0,66000.0,0.1660926737633062,2018
