SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME
040,3,6,01,000,Alabama,Alabama
050,3,6,01,001,Alabama,Autauga County
050,3,6,01,003,Alabama,Baldwin County
050,3,6,01,005,Alabama,Barbour County
050,3,6,01,007,Alabama,Bibb County
050,3,6,01,009,Alabama,Blount County
050,3,6,01,011,Alabama,Bullock County
050,3,6,01,013,Alabama,Butler County
050,3,6,01,015,Alabama,Calhoun County
050,3,6,01,017,Alabama,Chambers County
050,3,6,01,019,Alabama,Cherokee County
050,3,6,01,021,Alabama,Chilton County
050,3,6,01,023,Alabama,Choctaw County
050,3,6,01,025,Alabama,Clarke County
050,3,6,01,027,Alabama,Clay County
050,3,6,01,029,Alabama,Cleburne County
050,3,6,01,031,Alabama,Coffee County
050,3,6,01,033,Alabama,Colbert County
050,3,6,01,035,Alabama,Conecuh County
050,3,6,01,037,Alabama,Coosa County
050,3,6,01,039,Alabama,Covington County
050,3,6,01,041,Alabama,Crenshaw County
050,3,6,01,043,Alabama,Cullman County
050,3,6,01,045,Alabama,Dale County
050,3,6,01,047,Alabama,Dallas County
050,3,6,01,049,Alabama,DeKalb County
050,3,6,01,051,Alabama,Elmore County
050,3,6,01,053,Alabama,Escambia County
050,3,6,01,055,Alabama,Etowah County
050,3,6,01,057,Alabama,Fayette County
050,3,6,01,059,Alabama,Franklin County
050,3,6,01,061,Alabama,Geneva County
050,3,6,01,063,Alabama,Greene County
050,3,6,01,065,Alabama,Hale County
050,3,6,01,067,Alabama,Henry County
050,3,6,01,069,Alabama,Houston County
050,3,6,01,071,Alabama,Jackson County
050,3,6,01,073,Alabama,Jefferson County
050,3,6,01,075,Alabama,Lamar County
050,3,6,01,077,Alabama,Lauderdale County
050,3,6,01,079,Alabama,Lawrence County
050,3,6,01,081,Alabama,Lee County
050,3,6,01,083,Alabama,Limestone County
050,3,6,01,085,Alabama,Lowndes County
050,3,6,01,087,Alabama,Macon County
050,3,6,01,089,Alabama,Madison County
050,3,6,01,091,Alabama,Marengo County
050,3,6,01,093,Alabama,Marion County
050,3,6,01,095,Alabama,Marshall County
050,3,6,01,097,Alabama,Mobile County
050,3,6,01,099,Alabama,Monroe County
050,3,6,01,101,Alabama,Montgomery County
050,3,6,01,103,Alabama,Morgan County
050,3,6,01,105,Alabama,Perry County
050,3,6,01,107,Alabama,Pickens County
050,3,6,01,109,Alabama,Pike County
050,3,6,01,111,Alabama,Randolph County
050,3,6,01,113,Alabama,Russell County
050,3,6,01,115,Alabama,St. Clair County
050,3,6,01,117,Alabama,Shelby County
050,3,6,01,119,Alabama,Sumter County
050,3,6,01,121,Alabama,Talladega County
050,3,6,01,123,Alabama,Tallapoosa County
050,3,6,01,125,Alabama,Tuscaloosa County
050,3,6,01,127,Alabama,Walker County
050,3,6,01,129,Alabama,Washington County
050,3,6,01,131,Alabama,Wilcox County
050,3,6,01,133,Alabama,Winston County
040,4,9,02,000,Alaska,Alaska
050,4,9,02,013,Alaska,Aleutians East Borough
050,4,9,02,016,Alaska,Aleutians West Census Area
050,4,9,02,020,Alaska,Anchorage Municipality
050,4,9,02,050,Alaska,Bethel Census Area
050,4,9,02,060,Alaska,Bristol Bay Borough
050,4,9,02,063,Alaska,Chugach Census Area
050,4,9,02,066,Alaska,Copper River Census Area
050,4,9,02,068,Alaska,Denali Borough
050,4,9,02,070,Alaska,Dillingham Census Area
050,4,9,02,090,Alaska,Fairbanks North Star Borough
050,4,9,02,100,Alaska,Haines Borough
050,4,9,02,105,Alaska,Hoonah-Angoon Census Area
050,4,9,02,110,Alaska,Juneau City and Borough
050,4,9,02,122,Alaska,Kenai Peninsula Borough
050,4,9,02,130,Alaska,Ketchikan Gateway Borough
050,4,9,02,150,Alaska,Kodiak Island Borough
050,4,9,02,158,Alaska,Kusilvak Census Area
050,4,9,02,164,Alaska,Lake and Peninsula Borough
050,4,9,02,170,Alaska,Matanuska-Susitna Borough
050,4,9,02,180,Alaska,Nome Census Area
050,4,9,02,185,Alaska,North Slope Borough
050,4,9,02,188,Alaska,Northwest Arctic Borough
050,4,9,02,195,Alaska,Petersburg Borough
050,4,9,02,198,Alaska,Prince of Wales-Hyder Census Area
050,4,9,02,220,Alaska,Sitka City and Borough
050,4,9,02,230,Alaska,Skagway Municipality
050,4,9,02,240,Alaska,Southeast Fairbanks Census Area
050,4,9,02,275,Alaska,Wrangell City and Borough
050,4,9,02,282,Alaska,Yakutat City and Borough
050,4,9,02,290,Alaska,Yukon-Koyukuk Census Area
040,4,8,04,000,Arizona,Arizona
050,4,8,04,001,Arizona,Apache County
050,4,8,04,003,Arizona,Cochise County
050,4,8,04,005,Arizona,Coconino County
