state_fips,owner_purchase_originations,minority_originations,lowincome_originations,owner_loan_amount_median,income_median,minority_share,year
1,56430,9315,18451,125000.0,55000.0,0.16507177033492823,2018
1,59613,10015,20663,135000.0,57000.0,0.1680002683978327,2019
1,69553,12107,24390,145000.0,57000.0,0.17406869581470247,2020
1,75195,14341,25255,165000.0,60000.0,0.1907174679167498,2021
1,62136,12057,20063,185000.0,68000.0,0.1940421011973735,2022
1,50215,9610,14596,185000.0,75000.0,0.1913770785621826,2023
2,8295,911,2646,250000.0,83250.0,0.10982519590114527,2018
2,8576,951,3071,255000.0,82000.0,0.11089085820895522,2019
2,9630,1065,3577,275000.0,84000.0,0.11059190031152648,2020
2,12748,1548,4715,295000.0,83500.0,0.12143081267649827,2021
2,9162,1082,3119,315000.0,97000.0,0.11809648548351888,2022
2,6568,749,1868,325000.0,105000.0,0.11403775883069428,2023
4,109778,24319,29340,205000.0,66000.0,0.22152890378764414,2018
4,116498,25633,33033,225000.0,69000.0,0.2200295284039211,2019
4,126794,28133,39125,250000.0,70000.0,0.2218795842074546,2020
4,121673,27845,31826,305000.0,75000.0,0.2288511009015969,2021
4,95634,22208,21193,355000.0,90000.0,0.2322186670012757,2022
4,79468,20583,14761,345000.0,100500.0,0.2590099159410077,2023
5,32217,4359,9929,115000.0,56000.0,0.13530123847658068,2018
5,33645,4485,10636,125000.0,57000.0,0.13330361123495318,2019
5,38582,5289,13250,135000.0,56000.0,0.1370846508734643,2020
5,41032,6095,13835,145000.0,57000.0,0.148542600896861,2021
5,34123,4947,10107,165000.0,67500.0,0.14497552970137445,2022
5,28440,4246,7556,170000.0,74000.0,0.14929676511954992,2023
6,308594,94987,45377,445000.0,114000.0,0.30780572532194406,2018
6,315082,93743,53697,465000.0,116000.0,0.29751937590849364,2019
6,341473,98646,66202,500000.0,118000.0,0.28888374776336634,2020
6,395090,113508,70915,545000.0,125000.0,0.2872965653395429,2021
6,287861,83938,39104,595000.0,147000.0,0.291592122586943,2022
6,209225,63728,24080,595000.0,163000.0,0.3045907515832238,2023
8,95073,12605,28287,310000.0,84000.0,0.13258233147160603,2018
8,100376,14020,29367,325000.0,88000.0,0.13967482266677295,2019
8,107168,15367,33354,355000.0,89000.0,0.14339168408480144,2020
8,113907,17018,31566,405000.0,95000.0,0.1494025828087826,2021
